src,trg,pred,acc,bleu,rouge-2,trg_bpe,pred_bpe
소재 · 부품 전문 기업 등 의 육성 에 관한 특별 조치 법 시행령,"enforcement decree of the act on special measures for the promotion of specialized enterprises , etc . for materials and components","enforcement decree of the act on special measures for the fostering , fostering , etc . of enterprises specializing in materials and components",0.47619047619047616,0.5283214530294199,0.631578947368421,"['enforcement', 'decree', 'of', 'the', 'act', 'on', 'special', 'measures', 'for', 'the', 'promotion', 'of', 'specialized', 'enterprises', ',', 'etc', '.', 'for', 'materials', 'and', 'components']","['enforcement', 'decree', 'of', 'the', 'act', 'on', 'special', 'measures', 'for', 'the', 'fostering', ',', 'fostering', ',', 'etc', '.', 'of', 'enterprises', 'specializing', 'in', 'materials', 'and', 'components']"
제 6 조 의 2 ( 소재 부품 전문 기업 확인 및 사후 관리 등 ),article 6 - 2 ( verification of specialized enterprises for materials and components ),"article 6 - 2 ( verification , etc . of an enterprise specializing in materials and components )",0.42857142857142855,0.40919282596076473,0.6153846153846154,"['article', '6', '-', '2', '(', 'verification', 'of', 'specialized', 'enterprises', 'for', 'materials', 'and', 'components', ')']","['article', '6', '-', '2', '(', 'verification', ',', 'etc', '.', 'of', 'an', 'enterprise', 'specializing', 'in', 'materials', 'and', 'components', ')']"
( 1 ) 법 제 5 조 의 2 제 1 항 에 따라 소재 부품 전문 기업 으로 확인 을 받 으려는 기업 은 산업 통상 자원 부령 으로 정하 는 신청서 에 소재 부품 또는 그 생산 설비 의 매출액 이 제 3 조제 1 항 및 제 2 항 에 해당 한다는 것 을 증명 하 는 서류 등 산업 통상 자원 부령 으로 정하 는 서류 를 첨부 하 여 산업 통상 자원 부 장관 에게 신청 하 여야 한다 .,"( 1 ) an enterprise which intends to be verified as a specialized enterprise for materials and components pursuant to article 5 - 2 ( 1 ) of the act shall file an application with the minister of trade , industry and energy by submitting a written application prescribed by ordinance of the ministry of trade , industry and energy , together with the documents prescribed by ordinance of the ministry of trade , industry and energy such as a document evidencing the sales volume of materials and components or production facilities thereof falling under article 3 ( 1 ) and ( 2 ) .","( 1 ) an enterprise intending to obtain verification of the materials and components or parts thereof under article 5 - 2 ( 1 ) of the act shall file an application prescribed by ordinance of the ministry of trade , industry and energy with the minister of trade",0.047619047619047616,0.3310684376509146,0.4230769230769231,"['(', '1', ')', 'an', 'enterprise', 'which', 'intends', 'to', 'be', 'verified', 'as', 'a', 'specialized', 'enterprise', 'for', 'materials', 'and', 'components', 'pursuant', 'to', 'article', '5', '-', '2', '(', '1', ')', 'of', 'the', 'act', 'shall', 'file', 'an', 'application', 'with', 'the', 'minister', 'of', 'trade', ',', 'industry', 'and', 'energy', 'by', 'submitting', 'a', 'written', 'application', 'prescribed', 'by', 'ordinance', 'of', 'the', 'ministry', 'of', 'trade', ',', 'industry', 'and', 'energy', ',', 'together', 'with', 'the', 'documents', 'prescribed', 'by', 'ordinance', 'of', 'the', 'ministry', 'of', 'trade', ',', 'industry', 'and', 'energy', 'such', 'as', 'a', 'document', 'evidencing', 'the', 'sales', 'volume', 'of', 'materials', 'and', 'components', 'or', 'production', 'facilities', 'thereof', 'falling', 'under', 'article', '3', '(', '1', ')', 'and', '(', '2', ')', '.']","['(', '1', ')', 'an', 'enterprise', 'intending', 'to', 'obtain', 'verification', 'of', 'the', 'materials', 'and', 'components', 'or', 'parts', 'thereof', 'under', 'article', '5', '-', '2', '(', '1', ')', 'of', 'the', 'act', 'shall', 'file', 'an', 'application', 'prescribed', 'by', 'ordinance', 'of', 'the', 'ministry', 'of', 'trade', ',', 'industry', 'and', 'energy', 'with', 'the', 'minister', 'of', 'trade']"
( 2 ) 산업 통상 자원 부 장관 은 제 1 항 에 따라 신청 을 받 은 경우 해당 기업 이 제 3 조제 1 항 및 제 2 항 에 해당 하 는지 여부 를 확인 하 기 위하 여 서면 조사 또는 현장 조사 를 실시 할 수 있 다 .,"( 2 ) where receiving an application pursuant to paragraph ( 1 ) , the minister of trade , industry and energy may conduct a documentary survey or on - site survey in order to verify whether the relevant enterprise falls under art 3 ( 1 ) and ( 2 ) .","( 3 ) upon receipt of an application under paragraphs ( 1 ) and ( 2 ) , the minister of trade , industry and energy may conduct an on - site inspection to verify whether the enterprise falls under article 3 ( 1 ) or ( 2 )",0.09615384615384616,0.49053477043660326,0.5652173913043478,"['(', '2', ')', 'where', 'receiving', 'an', 'application', 'pursuant', 'to', 'paragraph', '(', '1', ')', ',', 'the', 'minister', 'of', 'trade', ',', 'industry', 'and', 'energy', 'may', 'conduct', 'a', 'documentary', 'survey', 'or', 'on', '-', 'site', 'survey', 'in', 'order', 'to', 'verify', 'whether', 'the', 'relevant', 'enterprise', 'falls', 'under', 'art', '3', '(', '1', ')', 'and', '(', '2', ')', '.']","['(', '3', ')', 'upon', 'receipt', 'of', 'an', 'application', 'under', 'paragraphs', '(', '1', ')', 'and', '(', '2', ')', ',', 'the', 'minister', 'of', 'trade', ',', 'industry', 'and', 'energy', 'may', 'conduct', 'an', 'on', '-', 'site', 'inspection', 'to', 'verify', 'whether', 'the', 'enterprise', 'falls', 'under', 'article', '3', '(', '1', ')', 'or', '(', '2', ')']"
"( 3 ) 법 제 5 조 의 2 제 2 항 에서 "" 대통령령 으로 정하 는 바 에 따른 유효 기간 "" 이 란 소재 부품 전문 기업 확인서 의 발급 일 부터 3 년 을 말 한다 .","( 3 ) "" effective period as determined by presidential decree "" in article 5 - 2 ( 2 ) of the act refers to there years from the issuance date of a written verification of a specialized enterprise for materials and components .","( 3 ) "" the effective period of the certificate of an enterprise specializing in materials and components "" in article 3 - 2 ( 2 ) of the act means five years from the date of the certificate of designation under paragraph ( 3 ) , as prescribed",0.11363636363636363,0.28372878776343724,0.43902439024390244,"['(', '3', ')', '""', 'effective', 'period', 'as', 'determined', 'by', 'presidential', 'decree', '""', 'in', 'article', '5', '-', '2', '(', '2', ')', 'of', 'the', 'act', 'refers', 'to', 'there', 'years', 'from', 'the', 'issuance', 'date', 'of', 'a', 'written', 'verification', 'of', 'a', 'specialized', 'enterprise', 'for', 'materials', 'and', 'components', '.']","['(', '3', ')', '""', 'the', 'effective', 'period', 'of', 'the', 'certificate', 'of', 'an', 'enterprise', 'specializing', 'in', 'materials', 'and', 'components', '""', 'in', 'article', '3', '-', '2', '(', '2', ')', 'of', 'the', 'act', 'means', 'five', 'years', 'from', 'the', 'date', 'of', 'the', 'certificate', 'of', 'designation', 'under', 'paragraph', '(', '3', ')', ',', 'as', 'prescribed']"
( 4 ) 산업 통상 자원 부 장관 은 소재 부품 전문 기업 으로 확인 을 받 은 기업 이 소재 부품 전문 기업 의 요건 을 유지 하 고 있 는지 확인 하 기 위하 여 필요 한 때 에 는 서면 조사 또는 현장 조사 를 실시 할 수 있 다 .,"( 4 ) the minister of trade , industry and energy may conduct a documentary survey or on - site survey , if necessary for verifying whether an enterprise verified as a specialized enterprise for materials and components maintain the requirements for a specialized enterprise for materials and components .",( 4 ) where it is necessary to verify whether an enterprise specializing in materials and components or parts has conducted an on - site investigation on an enterprise specializing in materials and components or has conducted an on - site investigation on whether it meets the requirements for,0.1,0.2341386461600584,0.23809523809523808,"['(', '4', ')', 'the', 'minister', 'of', 'trade', ',', 'industry', 'and', 'energy', 'may', 'conduct', 'a', 'documentary', 'survey', 'or', 'on', '-', 'site', 'survey', ',', 'if', 'necessary', 'for', 'verifying', 'whether', 'an', 'enterprise', 'verified', 'as', 'a', 'specialized', 'enterprise', 'for', 'materials', 'and', 'components', 'maintain', 'the', 'requirements', 'for', 'a', 'specialized', 'enterprise', 'for', 'materials', 'and', 'components', '.']","['(', '4', ')', 'where', 'it', 'is', 'necessary', 'to', 'verify', 'whether', 'an', 'enterprise', 'specializing', 'in', 'materials', 'and', 'components', 'or', 'parts', 'has', 'conducted', 'an', 'on', '-', 'site', 'investigation', 'on', 'an', 'enterprise', 'specializing', 'in', 'materials', 'and', 'components', 'or', 'has', 'conducted', 'an', 'on', '-', 'site', 'investigation', 'on', 'whether', 'it', 'meets', 'the', 'requirements', 'for']"
( 5 ) 소재 부품 전문 기업 의 지정 을 받 기 위한 확인 에 관하 여 제 1 항 및 제 2 항 에서 규정 한 사항 외 에 필요 한 사항 은 산업 통상 자원 부 장관 이 정하 여 고시 한다 .,"( 5 ) in addition to matters provided for in paragraphs ( 1 ) and ( 2 ) regarding verification for receiving the designation of a specialized enterprise for materials and components , other necessary matters shall be determined and publicly notified by the minister of trade , industry and energy .","( 5 ) except as otherwise expressly provided for in paragraphs ( 1 ) and ( 2 ) , matters necessary for designating enterprises specializing in materials and components shall be determined and publicly notified by the minister of trade , industry and energy .",0.2692307692307692,0.5462611610597853,0.56,"['(', '5', ')', 'in', 'addition', 'to', 'matters', 'provided', 'for', 'in', 'paragraphs', '(', '1', ')', 'and', '(', '2', ')', 'regarding', 'verification', 'for', 'receiving', 'the', 'designation', 'of', 'a', 'specialized', 'enterprise', 'for', 'materials', 'and', 'components', ',', 'other', 'necessary', 'matters', 'shall', 'be', 'determined', 'and', 'publicly', 'notified', 'by', 'the', 'minister', 'of', 'trade', ',', 'industry', 'and', 'energy', '.']","['(', '5', ')', 'except', 'as', 'otherwise', 'expressly', 'provided', 'for', 'in', 'paragraphs', '(', '1', ')', 'and', '(', '2', ')', ',', 'matters', 'necessary', 'for', 'designating', 'enterprises', 'specializing', 'in', 'materials', 'and', 'components', 'shall', 'be', 'determined', 'and', 'publicly', 'notified', 'by', 'the', 'minister', 'of', 'trade', ',', 'industry', 'and', 'energy', '.']"
제 17 조 ( 출연금 의 지급 등 ),"article 17 ( payment , etc . of subsidy )","article 17 ( payment , etc . of contributions )",0.9,0.7825422900366437,0.75,"['article', '17', '(', 'payment', ',', 'etc', '.', 'of', 'subsidy', ')']","['article', '17', '(', 'payment', ',', 'etc', '.', 'of', 'contributions', ')']"
관계 중앙 행정 기관 의 장 은 법 제 12 조제 2 항 의 규정 에 의한 출연금 을 전문 기술 인력 양성 사업 의 추진 상황 등 을 고려 하 여 분할 하 여 지급 할 수 있 다 .,the head of the relevant central administrative agency may pay in installments a subsidy under the provisions of article 12 ( 2 ) of the act in consideration of the current status of the implementation of a project for fostering specialized technical manpower and other related matters .,"the head of a relevant central administrative agency may promote projects for fostering specialized human resources under article 12 ( 2 ) of the act by paying contributions in installments in consideration of the status of technology , etc .",0.22916666666666666,0.344164532057819,0.46511627906976744,"['the', 'head', 'of', 'the', 'relevant', 'central', 'administrative', 'agency', 'may', 'pay', 'in', 'installments', 'a', 'subsidy', 'under', 'the', 'provisions', 'of', 'article', '12', '(', '2', ')', 'of', 'the', 'act', 'in', 'consideration', 'of', 'the', 'current', 'status', 'of', 'the', 'implementation', 'of', 'a', 'project', 'for', 'fostering', 'specialized', 'technical', 'manpower', 'and', 'other', 'related', 'matters', '.']","['the', 'head', 'of', 'a', 'relevant', 'central', 'administrative', 'agency', 'may', 'promote', 'projects', 'for', 'fostering', 'specialized', 'human', 'resources', 'under', 'article', '12', '(', '2', ')', 'of', 'the', 'act', 'by', 'paying', 'contributions', 'in', 'installments', 'in', 'consideration', 'of', 'the', 'status', 'of', 'technology', ',', 'etc', '.']"
제 18 조 ( 출연금 의 관리 사용 등 ),"article 18 ( management , use , etc . of subsidy )","article 18 ( use , management , etc . of contributions )",0.75,0.373421126552421,0.6,"['article', '18', '(', 'management', ',', 'use', ',', 'etc', '.', 'of', 'subsidy', ')']","['article', '18', '(', 'use', ',', 'management', ',', 'etc', '.', 'of', 'contributions', ')']"
